Haemorhous cassinii,Cassin's finch
Aramus guarauna,Limpkin
Rupornis magnirostris,Roadside hawk
Cyanocitta cristata,Blue jay
Cyanocitta stelleri,Steller's jay
Balearica regulorum,Grey crowned crane
Pyrocephalus rubinus,Scarlet flycatcher
Recurvirostra americana,American avocet
Ardeotis kori,Kori bustard
Pica nuttalli,Yellow-billed magpie
Perisoreus canadensis,Canada jay
Antigone canadensis,Sandhill crane
Parkesia noveboracensis,Northern waterthrush
Ardea herodias occidentalis,Great Blue Heron
Porzana carolina,Sora (bird)
Anas platyrhynchos diazi,Mexican duck
Motacilla cinerea,Grey wagtail
Empidonax difficilis,Pacific-slope flycatcher
Empidonax minimus,Least flycatcher
Empidonax fulvifrons,Buff-breasted flycatcher
Empidonax traillii,Willow flycatcher
Empidonax hammondii,Hammond's flycatcher
Empidonax occidentalis,Cordilleran flycatcher
Rallus limicola,Virginia rail
Grus grus,Common crane
Quiscalus major,Boat-tailed grackle
Branta leucopsis,Barnacle goose
Cyanocorax yucatanicus,Yucatan jay
Cyanocorax yncas,Inca jay
Oceanites oceanicus,Wilson's storm petrel
Quiscalus niger,Greater Antillean grackle
Psilorhinus morio,Brown jay
Megarynchus pitangua,Boat-billed flycatcher
Gallinula tenebrosa,Dusky moorhen
Gallus gallus domesticus,Chicken
Numida meleagris,Helmeted guineafowl
Junco hyemalis caniceps,Dark-eyed Junco 
Tyrannus vociferans,Cassin's kingbird
Tyrannus tyrannus,Eastern kingbird
Tyrannus forficatus,Scissor-tailed flycatcher
Tyrannus crassirostris,Thick-billed kingbird
Tyrannus verticalis,Western kingbird
Tyrannus savana,Fork-tailed flycatcher
Gallirallus australis,Weka
Calocitta formosa,White-throated magpie-jay
Calocitta colliei,Black-throated magpie-jay
Fulica americana,American coot
Pachyramphus aglaiae,Rose-throated becard
Buteo lagopus,Rough-legged buzzard
Cygnus atratus,Black swan
Philesturnus rufusater,North Island saddleback
Larus marinus,Great black-backed gull
Pitangus sulphuratus,Great kiskadee
Anas rubripes,American black duck
Anthus novaeseelandiae novaeseelandiae,Australasian pipit
Sayornis phoebe,Eastern phoebe
Sayornis nigricans,Black phoebe
Tityra semifasciata,Masked tityra
Dryocopus lineatus,Lineated woodpecker
Porphyrio melanotus,Australasian swamphen
Anas bahamensis,White-cheeked pintail
Egretta novaehollandiae,White-faced heron
Anas crecca carolinensis,Green-winged teal
Alectoris chukar,Chukar partridge
Tachybaptus dominicus,Least grebe
Artemisiospiza belli,Bell's sparrow
Gallus gallus,Red junglefowl
Cardinalis sinuatus,Pyrrhuloxia
Cardinalis cardinalis,Northern cardinal
Melospiza lincolnii,Lincoln's sparrow
Podilymbus podiceps,Pied-billed grebe
Melospiza georgiana,Swamp sparrow
Meleagris gallopavo,Wild turkey
Meleagris ocellata,Ocellated turkey
Lagopus lagopus,Willow ptarmigan
Spizella atrogularis,Black-chinned sparrow
Pyrrhocorax graculus,Alpine chough
Spizella breweri,Brewer's sparrow
Sialia currucoides,Mountain bluebird
Spizella pusilla,Field sparrow
Anas superciliosa,Pacific black duck
Passerella iliaca,Fox sparrow
Phoenicopterus ruber,American flamingo
Sylvia atricapilla,Eurasian blackcap
Vireo bellii,Bell's vireo
Vireo plumbeus,Plumbeous vireo
